Name                     Team	P	Age	AVG	OBP	SPC	AB	H	2B	3B	HR	R	RBI	HBP	BB	K	SB	CS
Jake Fraley*	rf	30	0.304	0.333	0.348	23	7	1	0	0	2	0	0	1	8	0	1
Jake Fraley*	rf	30	0.232	0.332	0.387	168	39	8	0	6	29	23	1	24	41	4	2
Ty France	1b	30	0.251	0.32	0.357	350	88	19	0	6	41	44	17	19	63	1	0
Ty France	1b	30	0.277	0.32	0.372	94	26	6	0	1	9	8	4	3	20	0	0
Garrett Hampson	lf	30	0.167	0.211	0.222	18	3	1	0	0	0	0	0	1	6	0	0
Garrett Hampson	cf	30	0.103	0.133	0.138	29	3	1	0	0	9	1	0	1	13	1	0
Garrett Hampson	2b	30	0.167	0.359	0.167	30	5	0	0	0	10	0	0	9	10	2	1
Cooper Hummel#	lf	30	0.17	0.298	0.273	88	15	0	0	3	10	7	2	14	31	1	0
Cooper Hummel#	lf	30	0.172	0.301	0.276	87	15	0	0	3	10	7	2	14	30	1	0
Cooper Hummel#	rf	30	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Danny Jansen	c	30	0.254	0.346	0.433	67	17	3	0	3	10	7	1	9	18	0	0
Danny Jansen	c	30	0.204	0.314	0.389	221	45	8	0	11	28	29	3	33	68	0	0
Isiah Kiner-Falefa	ss	30	0.264	0.3	0.332	401	106	20	2	1	40	35	4	17	69	15	4
Isiah Kiner-Falefa	3b	30	0.233	0.258	0.367	30	7	1	0	1	5	5	1	0	8	0	0
Ramon Laureano	lf	30	0.269	0.323	0.489	182	49	9	2	9	27	30	2	13	47	3	1
Ramon Laureano	rf	30	0.29	0.355	0.529	259	75	17	0	15	45	46	6	22	72	4	3
Nicky Lopez*	3b	30	0.056	0.227	0.056	18	1	0	0	0	2	1	0	4	3	0	0
Nicky Lopez*	ss	30	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0
Mason McCoy	ss	30	0.136	0.269	0.182	22	3	1	0	0	5	1	1	3	7	2	0
Billy McKinney*	rf	30	0.2	0.238	0.25	20	4	1	0	0	4	1	0	1	1	0	0
Ryan McMahon*	3b	30	0.208	0.308	0.333	159	33	8	0	4	20	18	3	21	62	1	0
Ryan McMahon*	3b	30	0.217	0.314	0.403	350	76	15	1	16	42	35	1	49	127	2	1
Cedric Mullins*	cf	30	0.182	0.284	0.281	121	22	4	1	2	16	10	2	16	35	8	0
Cedric Mullins*	cf	30	0.229	0.305	0.433	314	72	19	0	15	42	49	2	34	85	14	4
Brian Navarreto	c	30	0.286	0.267	0.643	14	4	2	0	1	3	5	0	0	3	0	0
Dom Nunez*	c	30	0.286	0.286	0.286	7	2	0	0	0	2	0	0	0	4	0	0
Chuckie Robinson	c	30	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Zack Short	ss	30	0.22	0.291	0.38	50	11	2	0	2	9	7	1	4	18	0	1
Nick Solak	1b	30	0.091	0.091	0.091	11	1	0	0	0	0	0	0	0	2	0	0
Myles Straw	cf	30	0.262	0.313	0.367	267	70	14	1	4	51	32	1	19	50	12	1
Rowdy Tellez*	1b	30	0.208	0.249	0.434	173	36	6	0	11	20	27	2	8	49	1	0
